S_INFO_WINDCODE,S_VAL_MV
002333.SZ,417778.4512
002471.SZ,417533.1600
603878.SH,417430.4159
300078.SZ,417199.6861
002282.SZ,416661.3828
603689.SH,416540.4152
000526.SZ,416201.0083
002849.SZ,415233.2181
300100.SZ,415018.5864
000570.SZ,414947.1941
000509.SZ,414227.4281
300550.SZ,414057.3424
002813.SZ,413880.0000
301256.SZ,413760.0000
002962.SZ,412452.2449
300448.SZ,411322.3840
300044.SZ,410961.6447
301218.SZ,410772.0800
603956.SH,410307.3379
600280.SH,409585.5280
002251.SZ,409490.4728
301028.SZ,409224.9600
002599.SZ,409103.4916
002374.SZ,409070.6224
002521.SZ,408115.8007
300469.SZ,408104.6267
600784.SH,408093.9753
600715.SH,408067.7700
603050.SH,407861.0754
603757.SH,407461.2018
000779.SZ,406321.7111
300173.SZ,405568.5853
300111.SZ,405471.3749
688071.SH,405263.5622
688799.SH,405216.0000
600052.SH,405213.4757
002795.SZ,405190.4569
603189.SH,405131.1685
002638.SZ,404894.2422
300210.SZ,404807.8807
300918.SZ,404281.1140
300554.SZ,403852.1363
000010.SZ,403361.7633
603669.SH,403172.3416
603535.SH,403053.2283
300938.SZ,402703.5178
000892.SZ,402201.9939
603168.SH,401911.3225
002616.SZ,401396.3577
603991.SH,401296.4292
605398.SH,401044.1057
002175.SZ,400909.1483
688683.SH,400359.0568
300786.SZ,400234.5368
301169.SZ,400208.3480
300528.SZ,400181.0500
603237.SH,399875.7560
603380.SH,399796.4915
605167.SH,399672.3000
603099.SH,399471.6600
000506.SZ,398548.6195
301021.SZ,398172.1747
688529.SH,398028.8000
605158.SH,397884.7600
002976.SZ,396373.2780
600824.SH,396314.1794
300625.SZ,395812.0270
002523.SZ,395242.7832
300275.SZ,395061.4633
002264.SZ,394517.7947
300945.SZ,394498.2497
300812.SZ,394262.5085
603390.SH,393537.7351
300572.SZ,393402.7790
300359.SZ,393300.0551
600638.SH,393263.7230
688670.SH,392515.2000
603173.SH,392480.0000
688260.SH,392400.0000
301159.SZ,392164.5000
301100.SZ,392000.0000
688136.SH,391823.7446
688028.SH,391357.4405
600805.SH,390560.5727
300983.SZ,390400.0000
301299.SZ,390240.0000
688682.SH,389970.2265
300921.SZ,389815.9522
301306.SZ,389252.8000
688057.SH,388884.0000
603015.SH,388858.6780
601113.SH,388661.5836
002835.SZ,388504.2579
688181.SH,388248.2233
688509.SH,388080.0000
301183.SZ,388000.0000
601999.SH,387843.9488
300071.SZ,387780.0518
603365.SH,387269.1790
300583.SZ,386802.6349
600630.SH,385774.3301
300805.SZ,385562.5300
688030.SH,385510.0791
301092.SZ,384769.8470
600743.SH,384760.5433
600834.SH,384292.4335
300238.SZ,384210.6107
603948.SH,384138.1800
000529.SZ,384134.0371
300540.SZ,384111.4877
688323.SH,383580.3410
002363.SZ,383531.6754
688398.SH,383380.0000
300880.SZ,383301.1814
301136.SZ,382534.6998
688039.SH,382308.1543
605196.SH,382121.9472
300697.SZ,381721.6000
300016.SZ,381249.4142
002676.SZ,380880.0000
001283.SZ,380525.7867
688558.SH,380424.0000
000558.SZ,380321.0650
000514.SZ,379696.9343
688786.SH,379529.2942
003016.SZ,379295.0136
300916.SZ,379256.5864
688551.SH,379191.7576
000710.SZ,378364.4580
600653.SH,377597.7815
600337.SH,377283.3469
301088.SZ,376656.0000
603388.SH,376548.0092
600605.SH,376465.4329
688170.SH,375920.3200
002490.SZ,375786.5964
000599.SZ,375709.1340
600706.SH,375192.9437
300707.SZ,375141.8042
300092.SZ,375000.9580
001318.SZ,374524.5000
002348.SZ,374144.0000
605389.SH,374050.0337
600644.SH,373650.0573
300577.SZ,373116.6585
601177.SH,372855.9200
600992.SH,372781.8900
002369.SZ,371923.3197
600178.SH,371835.6042
300695.SZ,371672.5293
603163.SH,371600.0000
603778.SH,371571.4281
300631.SZ,371482.6907
603278.SH,371235.7530
002868.SZ,370822.1871
301052.SZ,370784.6542
300905.SZ,370405.7874
603999.SH,370368.0000
301280.SZ,370283.3790
300466.SZ,370051.1664
605088.SH,370016.5406
002647.SZ,369558.1890
603116.SH,369344.7128
002561.SZ,368781.7810
301013.SZ,368612.7993
001332.SZ,368604.0000
301151.SZ,368380.4151
688118.SH,368053.2000
002674.SZ,368039.1724
603088.SH,367833.5136
605066.SH,367707.3480
300553.SZ,367473.6000
605162.SH,367232.4453
301187.SZ,366858.7909
601956.SH,365833.7844
603617.SH,365651.7001
600579.SH,365417.4930
301166.SZ,364953.3389
300993.SZ,364827.3408
002686.SZ,364091.7625
600558.SH,363529.9566
603106.SH,363322.9600
000850.SZ,363311.0285
002103.SZ,362771.3351
000911.SZ,362689.7551
301223.SZ,362500.4301
300864.SZ,361708.3200
601086.SH,361638.0000
603788.SH,361365.4102
000880.SZ,361139.4540
600725.SH,361113.7100
002823.SZ,360892.1125
300148.SZ,360866.5962
002712.SZ,360855.1193
002337.SZ,360232.8390
002877.SZ,359499.2985
688325.SH,359322.9572
301185.SZ,358690.3488
603037.SH,358182.1871
300711.SZ,358058.1608
301181.SZ,357552.0000
688662.SH,357372.0000
688228.SH,357171.4896
301138.SZ,357120.0000
300097.SZ,356647.3909
300801.SZ,356477.7600
002186.SZ,356275.8680
603697.SH,356267.5176
000020.SZ,355933.6623
688689.SH,355772.0537
002575.SZ,355764.0000
301188.SZ,355354.8900
300862.SZ,355125.7215
002355.SZ,354966.2688
600076.SH,354959.4489
301213.SZ,354879.9956
002682.SZ,354854.5828
301285.SZ,354852.3900
003019.SZ,354761.8317
301193.SZ,354432.0000
002198.SZ,354241.8739
301380.SZ,353405.0741
603933.SH,352975.4564
003007.SZ,352664.0000
603706.SH,352630.6135
002981.SZ,352320.0000
002350.SZ,351997.4881
002663.SZ,351994.5286
300719.SZ,351701.0835
603648.SH,351540.4160
600716.SH,351022.7213
688015.SH,350946.1801
002763.SZ,350894.9440
001207.SZ,350682.8856
002388.SZ,350299.4418
002634.SZ,349717.9146
600769.SH,349103.7732
301199.SZ,348684.1000
688633.SH,348629.2920
603028.SH,348466.5600
603739.SH,348420.7485
600173.SH,348151.6033
603020.SH,347979.8988
002418.SZ,347738.4000
300461.SZ,347615.4565
300622.SZ,347540.0304
301321.SZ,347514.8400
301137.SZ,347445.4074
300965.SZ,347280.0000
600101.SH,347260.5201
301265.SZ,347207.2666
301189.SZ,346872.4278
301115.SZ,346855.3350
300192.SZ,346587.9254
688338.SH,345599.6544
688285.SH,345434.1401
002306.SZ,345379.0000
002660.SZ,345213.9864
301319.SZ,345155.0400
603898.SH,344901.9651
600684.SH,344798.1321
600527.SH,344620.4195
603097.SH,344480.0000
300936.SZ,343363.2000
300414.SZ,342972.4782
603196.SH,342745.4163
300843.SZ,342427.5353
300190.SZ,342335.8870
001229.SZ,342100.0000
300822.SZ,342010.6875
600693.SH,341849.5747
300445.SZ,341799.8909
002593.SZ,341639.6623
603660.SH,341470.1783
002917.SZ,341357.1415
301038.SZ,341312.4000
688257.SH,341169.9200
688585.SH,341166.4259
603232.SH,339706.1959
301317.SZ,339373.2100
300380.SZ,338920.5463
603122.SH,338742.7907
600665.SH,338736.0282
300512.SZ,338628.2590
688199.SH,338463.1524
002040.SZ,338422.1932
603967.SH,337653.3755
603628.SH,337595.4000
002730.SZ,337458.4482
605500.SH,337321.6000
300424.SZ,337292.7454
003015.SZ,336998.9337
301396.SZ,336532.3950
300998.SZ,335927.4443
300780.SZ,335580.9600
300230.SZ,335460.6829
301318.SZ,335259.9600
300279.SZ,335033.1507
300508.SZ,335028.9024
603726.SH,334914.7648
300467.SZ,334881.6703
605580.SH,334600.0000
600113.SH,334274.6064
300964.SZ,334237.7800
300884.SZ,334152.0000
603326.SH,333883.4391
002343.SZ,333414.6796
603215.SH,333358.8609
300277.SZ,333325.0000
001216.SZ,333219.6441
300154.SZ,333086.3416
605080.SH,332979.7901
000790.SZ,332915.5589
300800.SZ,332329.6000
600386.SH,332236.8000
300306.SZ,331895.1321
600722.SH,331315.6822
603602.SH,331051.2583
688793.SH,330889.8632
688070.SH,330877.2400
001266.SZ,330827.7840
000153.SZ,330782.7851
300650.SZ,330718.6309
000978.SZ,330499.7800
603922.SH,330496.0000
301379.SZ,330267.0600
603817.SH,330233.1340
301112.SZ,330027.9338
603101.SH,329750.4000
603980.SH,329700.0000
300615.SZ,329639.3604
000610.SZ,329079.5824
301009.SZ,328950.6000
300989.SZ,328876.9290
300937.SZ,328615.0527
603052.SH,327873.2800
300425.SZ,327718.7612
300067.SZ,327686.1788
600333.SH,327658.5080
300988.SZ,327594.3286
300155.SZ,326634.5470
605058.SH,326581.2258
688125.SH,326545.4513
603836.SH,326324.0268
603600.SH,326249.6205
002457.SZ,325947.2160
603797.SH,325943.6891
688678.SH,325506.3689
688117.SH,325024.0000
600379.SH,324918.3390
688191.SH,324832.5495
300824.SZ,324709.9736
300730.SZ,324205.0482
603598.SH,324114.1090
605169.SH,323897.6000
002574.SZ,323664.0000
605055.SH,323400.0000
002722.SZ,322875.2839
600892.SH,322810.8365
603335.SH,322392.8838
603787.SH,321971.1622
301258.SZ,321670.0300
600354.SH,320903.6646
300096.SZ,320780.0000
605288.SH,320738.8289
301186.SZ,320429.8521
001299.SZ,320386.1225
605177.SH,320238.4000
000908.SZ,320237.8638
000798.SZ,320126.3730
300211.SZ,320099.8953
301111.SZ,320000.0000
002863.SZ,319774.1297
002598.SZ,319488.0000
300669.SZ,319313.0566
002732.SZ,319263.1500
002381.SZ,318971.2938
603095.SH,318780.0000
001238.SZ,318670.0000
688098.SH,318659.7440
603577.SH,318451.6149
002165.SZ,318371.8394
301110.SZ,318200.0016
600844.SH,318172.0871
301133.SZ,317441.0751
603779.SH,316444.4455
003002.SZ,316400.0000
688722.SH,316330.7136
603518.SH,316314.7854
301313.SZ,315698.5390
002713.SZ,315491.8090
301020.SZ,315345.6000
000782.SZ,315299.3549
600257.SH,315210.3581
603096.SH,315094.4513
002576.SZ,315010.8000
301160.SZ,314944.0014
301212.SZ,314928.0000
300987.SZ,314836.2880
300818.SZ,314820.7625
002796.SZ,314776.4042
001205.SZ,314769.2701
301005.SZ,314745.0393
688571.SH,314496.0000
001219.SZ,314223.8125
300690.SZ,314162.9461
301290.SZ,313742.8821
002693.SZ,313723.2108
300300.SZ,313542.3570
301011.SZ,313480.8040
688216.SH,313390.2300
001331.SZ,313320.0000
300952.SZ,312985.1901
300959.SZ,312880.0000
600721.SH,312761.1093
601996.SH,312755.0244
605166.SH,312406.9601
603909.SH,312286.4217
300977.SZ,312102.0453
000518.SZ,311955.5353
600865.SH,311903.2220
002331.SZ,311786.9212
301070.SZ,311672.5056
300514.SZ,311600.0000
002927.SZ,311582.5653
301106.SZ,311541.9791
300422.SZ,311506.4658
688265.SH,311464.2344
000715.SZ,311373.4861
600439.SH,311295.9960
603586.SH,311135.7619
605378.SH,311082.2200
688613.SH,310666.6682
603040.SH,310477.9450
300165.SZ,310190.3399
603839.SH,309788.6362
300915.SZ,309780.0000
605566.SH,309748.8200
300778.SZ,309683.0210
300701.SZ,309420.0000
000421.SZ,309370.1347
301083.SZ,309310.1339
603130.SH,309260.0000
002395.SZ,309244.9770
