,symbol,date,time,prev_close,open,high,low,last_prc
4209,000555.SZ,20231117.0,143024000,12.77,12.72,12.79,12.56,12.63
4210,000555.SZ,20231117.0,143027000,12.77,12.72,12.79,12.56,12.63
4211,000555.SZ,20231117.0,143030000,12.77,12.72,12.79,12.56,12.63
4212,000555.SZ,20231117.0,143033000,12.77,12.72,12.79,12.56,12.63
4213,000555.SZ,20231117.0,143036000,12.77,12.72,12.79,12.56,12.63
4214,000555.SZ,20231117.0,143039000,12.77,12.72,12.79,12.56,12.63
4215,000555.SZ,20231117.0,143042000,12.77,12.72,12.79,12.56,12.63
4216,000555.SZ,20231117.0,143045000,12.77,12.72,12.79,12.56,12.64
4217,000555.SZ,20231117.0,143048000,12.77,12.72,12.79,12.56,12.63
4218,000555.SZ,20231117.0,143051000,12.77,12.72,12.79,12.56,12.63
4219,000555.SZ,20231117.0,143054000,12.77,12.72,12.79,12.56,12.64
4220,000555.SZ,20231117.0,143057000,12.77,12.72,12.79,12.56,12.63
4221,000555.SZ,20231117.0,143100000,12.77,12.72,12.79,12.56,12.64
4222,000555.SZ,20231117.0,143103000,12.77,12.72,12.79,12.56,12.64
4223,000555.SZ,20231117.0,143106000,12.77,12.72,12.79,12.56,12.64
4224,000555.SZ,20231117.0,143109000,12.77,12.72,12.79,12.56,12.65
4225,000555.SZ,20231117.0,143112000,12.77,12.72,12.79,12.56,12.64
4226,000555.SZ,20231117.0,143115000,12.77,12.72,12.79,12.56,12.65
4227,000555.SZ,20231117.0,143118000,12.77,12.72,12.79,12.56,12.65
4228,000555.SZ,20231117.0,143121000,12.77,12.72,12.79,12.56,12.64
4229,000555.SZ,20231117.0,143124000,12.77,12.72,12.79,12.56,12.64
4230,000555.SZ,20231117.0,143127000,12.77,12.72,12.79,12.56,12.65
4231,000555.SZ,20231117.0,143130000,12.77,12.72,12.79,12.56,12.65
4232,000555.SZ,20231117.0,143133000,12.77,12.72,12.79,12.56,12.65
4233,000555.SZ,20231117.0,143136000,12.77,12.72,12.79,12.56,12.65
4234,000555.SZ,20231117.0,143139000,12.77,12.72,12.79,12.56,12.65
4235,000555.SZ,20231117.0,143142000,12.77,12.72,12.79,12.56,12.64
4236,000555.SZ,20231117.0,143145000,12.77,12.72,12.79,12.56,12.64
4237,000555.SZ,20231117.0,143148000,12.77,12.72,12.79,12.56,12.64
4238,000555.SZ,20231117.0,143151000,12.77,12.72,12.79,12.56,12.64
4239,000555.SZ,20231117.0,143154000,12.77,12.72,12.79,12.56,12.64
4240,000555.SZ,20231117.0,143157000,12.77,12.72,12.79,12.56,12.65
4241,000555.SZ,20231117.0,143200000,12.77,12.72,12.79,12.56,12.64
