,symbol,date,time,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
3645,000016.SH,20231201.0,121039000,121039217.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121039000.0,0,0,2341.6126,2349.2,0
3646,000016.SH,20231201.0,121042000,121042221.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121042000.0,0,0,2341.6126,2349.2,0
3647,000016.SH,20231201.0,121045000,121045222.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121045000.0,0,0,2341.6126,2349.2,0
3648,000016.SH,20231201.0,121048000,121048222.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121048000.0,0,0,2341.6126,2349.2,0
3649,000016.SH,20231201.0,121051000,121051212.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121051000.0,0,0,2341.6126,2349.2,0
3650,000016.SH,20231201.0,121054000,121054213.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121054000.0,0,0,2341.6126,2349.2,0
3651,000016.SH,20231201.0,121057000,121057211.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121057000.0,0,0,2341.6126,2349.2,0
3652,000016.SH,20231201.0,121100000,121100222.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121100000.0,0,0,2341.6126,2349.2,0
3653,000016.SH,20231201.0,121103000,121103222.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121103000.0,0,0,2341.6126,2349.2,0
3654,000016.SH,20231201.0,121104000,121104212.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121104000.0,0,0,2341.6126,2349.2,0
