,symbol,date,time,recv_time,prev_close,open,high,low,last_prc,num_trades,volume,turnover,iopv,status,total_ask_vol,weighted_ask_prc,total_bid_vol,weighted_bid_prc,high_limited,low_limited,ask_prc1,ask_prc2,ask_prc3,ask_prc4,ask_prc5,ask_prc6,ask_prc7,ask_prc8,ask_prc9,ask_prc10,bid_prc1,bid_prc2,bid_prc3,bid_prc4,bid_prc5,bid_prc6,bid_prc7,bid_prc8,bid_prc9,bid_prc10,ask_vol1,ask_vol2,ask_vol3,ask_vol4,ask_vol5,ask_vol6,ask_vol7,ask_vol8,ask_vol9,ask_vol10,bid_vol1,bid_vol2,bid_vol3,bid_vol4,bid_vol5,bid_vol6,bid_vol7,bid_vol8,bid_vol9,bid_vol10
8124,000016.SH,20231201,145730000,145730170,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8125,000016.SH,20231201,145733000,145733147,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8126,000016.SH,20231201,145734000,145734238,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8127,000016.SH,20231201,145736000,145736158,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8128,000016.SH,20231201,145739000,145739188,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8129,000016.SH,20231201,145742000,145742192,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130,000016.SH,20231201,145745000,145745178,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8131,000016.SH,20231201,145748000,145748218,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8132,000016.SH,20231201,145751000,145751092,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8133,000016.SH,20231201,145754000,145754125,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8134,000016.SH,20231201,145757000,145757133,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8135,000016.SH,20231201,145800000,145800128,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8136,000016.SH,20231201,145803000,145803156,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8137,000016.SH,20231201,145804000,145804246,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8138,000016.SH,20231201,145806000,145806155,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8139,000016.SH,20231201,145809000,145809152,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8140,000016.SH,20231201,145812000,145812184,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8141,000016.SH,20231201,145815000,145815189,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8142,000016.SH,20231201,145818000,145818192,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8143,000016.SH,20231201,145821000,145821179,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8144,000016.SH,20231201,145824000,145824195,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8145,000016.SH,20231201,145827000,145827188,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8146,000016.SH,20231201,145830000,145830179,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8147,000016.SH,20231201,145833000,145833188,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8148,000016.SH,20231201,145834000,145834247,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8149,000016.SH,20231201,145836000,145836189,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8150,000016.SH,20231201,145839000,145839186,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8151,000016.SH,20231201,145842000,145842215,2365.9962,2362.6263,2362.6263,2330.7389,2354.1662,0,2807072400,44897280085,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
