,level_0,index,time,Unnamed: 0,symbol,date,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
143,143,143,93209000,158,000016.SH,20231201.0,93209189.0,2365.9962,2362.6263,2357.675,89558900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93209000.0,1108100,0,2357.675,2360.65,0
144,144,144,93212000,159,000016.SH,20231201.0,93212176.0,2365.9962,2362.6263,2357.1787,90526800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93212000.0,967900,0,2357.1787,2360.61,0
145,145,145,93215000,160,000016.SH,20231201.0,93215183.0,2365.9962,2362.6263,2357.4406,91429800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93215000.0,903000,0,2357.4406,2360.58,0
146,146,146,93218000,161,000016.SH,20231201.0,93218181.0,2365.9962,2362.6263,2357.5546,92573600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93218000.0,1143800,0,2357.5546,2360.55,0
147,147,147,93221000,162,000016.SH,20231201.0,93221186.0,2365.9962,2362.6263,2357.2959,93417900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93221000.0,844300,0,2357.2959,2360.52,0
148,148,148,93224000,163,000016.SH,20231201.0,93224186.0,2365.9962,2362.6263,2356.4839,94623100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93224000.0,1205200,0,2356.4839,2360.46,0
149,149,149,93227000,164,000016.SH,20231201.0,93227182.0,2365.9962,2362.6263,2356.3696,95273500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93227000.0,650400,0,2356.3696,2360.44,0
150,150,150,93230000,165,000016.SH,20231201.0,93230199.0,2365.9962,2362.6263,2356.4008,97352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93230000.0,2078500,0,2356.4008,2360.35,0
151,151,151,93233000,166,000016.SH,20231201.0,93233201.0,2365.9962,2362.6263,2355.8041,98756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93233000.0,1404000,0,2355.8041,2360.29,0
152,152,152,93236000,168,000016.SH,20231201.0,93236090.0,2365.9962,2362.6263,2355.5118,99208400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93236000.0,452400,0,2355.5118,2360.26,0
153,153,153,93239000,169,000016.SH,20231201.0,93239113.0,2365.9962,2362.6263,2356.1348,100605800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93239000.0,1397400,0,2356.1348,2360.21,0
154,154,154,93242000,170,000016.SH,20231201.0,93242126.0,2365.9962,2362.6263,2355.7279,101407000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93242000.0,801200,0,2355.7279,2360.17,0
155,155,155,93245000,171,000016.SH,20231201.0,93245112.0,2365.9962,2362.6263,2355.6196,101821700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93245000.0,414700,0,2355.6196,2360.15,0
156,156,156,93248000,172,000016.SH,20231201.0,93248139.0,2365.9962,2362.6263,2355.4988,102758100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93248000.0,936400,0,2355.4988,2360.11,0
157,157,157,93251000,173,000016.SH,20231201.0,93251134.0,2365.9962,2362.6263,2355.4732,103219700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93251000.0,461600,0,2355.4732,2360.09,0
158,158,158,93254000,174,000016.SH,20231201.0,93254144.0,2365.9962,2362.6263,2355.3594,104895300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93254000.0,1675600,0,2355.3594,2360.01,0
159,159,159,93257000,175,000016.SH,20231201.0,93257147.0,2365.9962,2362.6263,2355.5256,105726400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93257000.0,831100,0,2355.5256,2359.98,0
160,160,160,93300000,176,000016.SH,20231201.0,93300152.0,2365.9962,2362.6263,2355.3763,107351200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93300000.0,1624800,0,2355.3763,2359.91,0
161,161,161,93303000,177,000016.SH,20231201.0,93303151.0,2365.9962,2362.6263,2355.644,108724400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93303000.0,1373200,0,2355.644,2359.86,0
162,162,162,93306000,179,000016.SH,20231201.0,93306205.0,2365.9962,2362.6263,2354.8391,110793400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93306000.0,2069000,0,2354.8391,2359.76,0
163,163,163,93309000,180,000016.SH,20231201.0,93309140.0,2365.9962,2362.6263,2354.5135,112215100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93309000.0,1421700,0,2354.5135,2359.7,0
164,164,164,93312000,181,000016.SH,20231201.0,93312145.0,2365.9962,2362.6263,2354.7874,114927900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93312000.0,2712800,0,2354.7874,2359.58,0
